"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","BLZ.PPPEX.A","OBS_VALUE","Belize","1.301","1.315","1.331","1.266","1.176","1.087","1.049","1.041","1.078","1.087"
"IMF.RES:WEO(6.0.0)","BRA.PPPEX.A","OBS_VALUE","Brazil","2.026","2.17","2.21","2.198","2.216","2.265","2.379","2.411","2.436","2.47"
"IMF.RES:WEO(6.0.0)","BLR.PPPEX.A","OBS_VALUE","Belarus, Republic of","0.53","0.569","0.607","0.647","0.641","0.642","0.689","0.745","0.782","0.803"
"IMF.RES:WEO(6.0.0)","CHN.PPPEX.A","OBS_VALUE","China, People's Republic of","3.961","3.958","4.04","4.094","4.06","4.015","3.987","3.796","3.642","3.547"
"IMF.RES:WEO(6.0.0)","COG.PPPEX.A","OBS_VALUE","Congo, Republic of","272.413","261.741","288.932","267.578","254.912","240.513","222.775","239.348","223.934","226.323"
"IMF.RES:WEO(6.0.0)","BWA.PPPEX.A","OBS_VALUE","Botswana","4.417","4.896","4.682","4.787","4.833","4.737","4.82","5.157","5.083","5.063"
"IMF.RES:WEO(6.0.0)","BFA.PPPEX.A","OBS_VALUE","Burkina Faso","199.188","202.443","201.595","208.284","200.763","199.517","199.725","197.88","193.745","193.423"
"IMF.RES:WEO(6.0.0)","CAF.PPPEX.A","OBS_VALUE","Central African Republic","266.263","271.619","284.034","279.155","267.259","249.863","241.881","240.15","239.805","247.883"
"IMF.RES:WEO(6.0.0)","DNK.PPPEX.A","OBS_VALUE","Denmark","6.955","6.919","6.872","6.766","6.538","6.365","6.232","6.347","5.894","5.722"
"IMF.RES:WEO(6.0.0)","CPV.PPPEX.A","OBS_VALUE","Cabo Verde","47.87","48.216","47.982","50.68","49.907","49.993","48.17","48.358","48.516","48.229"
"IMF.RES:WEO(6.0.0)","BRB.PPPEX.A","OBS_VALUE","Barbados","2.209","2.167","2.2","2.162","2.194","2.319","2.384","2.24","2.231","2.247"
"IMF.RES:WEO(6.0.0)","BIH.PPPEX.A","OBS_VALUE","Bosnia and Herzegovina","0.678","0.681","0.681","0.674","0.651","0.643","0.651","0.679","0.692","0.692"
"IMF.RES:WEO(6.0.0)","BEN.PPPEX.A","OBS_VALUE","Benin","217.44","216.866","212.266","215.738","210.405","212.435","211.107","205.213","204.791","204.112"
"IMF.RES:WEO(6.0.0)","BOL.PPPEX.A","OBS_VALUE","Bolivia","2.637","2.576","2.685","2.702","2.639","2.583","2.474","2.428","2.332","2.375"
"IMF.RES:WEO(6.0.0)","COD.PPPEX.A","OBS_VALUE","Congo, Democratic Republic of the","438.073","453.32","637.266","801.573","786.309","827.004","845.451","835.553","922.365","1086.284"
"IMF.RES:WEO(6.0.0)","BHS.PPPEX.A","OBS_VALUE","Bahamas, The","0.928","0.934","0.93","0.927","0.931","0.962","0.978","0.952","0.977","0.968"
"IMF.RES:WEO(6.0.0)","CRI.PPPEX.A","OBS_VALUE","Costa Rica","334.113","337.451","340.992","337.902","324.217","328.024","330.139","327.523","315.868","309.981"
"IMF.RES:WEO(6.0.0)","COL.PPPEX.A","OBS_VALUE","Colombia","1234.455","1285.792","1328.017","1322.161","1312.63","1270.744","1316.324","1411.394","1448.688","1489.976"
"IMF.RES:WEO(6.0.0)","AUS.PPPEX.A","OBS_VALUE","Australia","1.453","1.451","1.478","1.47","1.459","1.431","1.417","1.431","1.43","1.435"
"IMF.RES:WEO(6.0.0)","CIV.PPPEX.A","OBS_VALUE","Côte d'Ivoire","255.54","250.15","243.186","239.319","227.483","226.309","225.289","214.682","213.28","214.086"
"IMF.RES:WEO(6.0.0)","CHL.PPPEX.A","OBS_VALUE","Chile","372.833","386.167","397.689","396.229","397.674","409.842","423.046","426.144","438.488","452.907"
"IMF.RES:WEO(6.0.0)","BRN.PPPEX.A","OBS_VALUE","Brunei Darussalam","0.677","0.609","0.628","0.642","0.599","0.531","0.532","0.618","0.519","0.511"
"IMF.RES:WEO(6.0.0)","CYP.PPPEX.A","OBS_VALUE","Cyprus","0.629","0.62","0.615","0.612","0.588","0.579","0.571","0.566","0.572","0.579"
"IMF.RES:WEO(6.0.0)","HRV.PPPEX.A","OBS_VALUE","Croatia, Republic of","0.448","0.444","0.441","0.439","0.42","0.41","0.407","0.413","0.433","0.44"
"IMF.RES:WEO(6.0.0)","SWZ.PPPEX.A","OBS_VALUE","Eswatini, Kingdom of","5.594","5.943","5.983","6.162","6.115","6.12","5.895","5.987","6.297","6.319"
"IMF.RES:WEO(6.0.0)","HUN.PPPEX.A","OBS_VALUE","Hungary","132.622","133.109","136.037","139.092","138.797","141.838","147.108","156.86","173.743","178.749"
"IMF.RES:WEO(6.0.0)","GHA.PPPEX.A","OBS_VALUE","Ghana","1.358","1.558","1.694","1.819","1.9","2.033","2.149","2.571","3.302","3.791"
"IMF.RES:WEO(6.0.0)","ISL.PPPEX.A","OBS_VALUE","Iceland","137.66","139.447","138.277","140.97","138.668","143.253","141.92","144.246","147.171","150.032"
"IMF.RES:WEO(6.0.0)","ERI.PPPEX.A","OBS_VALUE","Eritrea, The State of","5.775","5.742","5.393","4.961","4.691","","","","",""
"IMF.RES:WEO(6.0.0)","DJI.PPPEX.A","OBS_VALUE","Djibouti","101.39","100.74","99.524","95.032","93.41","91.478","90.228","89.223","86.654","85.851"
"IMF.RES:WEO(6.0.0)","GUY.PPPEX.A","OBS_VALUE","Guyana","103.941","103.888","104.212","100.972","100.87","83.994","89.915","98.076","83.55","76.652"
"IMF.RES:WEO(6.0.0)","EGY.PPPEX.A","OBS_VALUE","Egypt, Arab Republic of","2.495","2.633","3.169","3.581","3.893","3.695","3.855","3.971","4.784","6.197"
"IMF.RES:WEO(6.0.0)","IRN.PPPEX.A","OBS_VALUE","Iran, Islamic Republic of","10853.547","11761.995","13061.295","16923.199","23549.041","32954.586","50488.172","70968.141","89391.687","116640.525"
"IMF.RES:WEO(6.0.0)","GRD.PPPEX.A","OBS_VALUE","Grenada","1.726","1.755","1.75","1.704","1.718","1.686","1.698","1.62","1.606","1.602"
"IMF.RES:WEO(6.0.0)","GIN.PPPEX.A","OBS_VALUE","Guinea","2484.438","2600.568","2819.406","2956.569","3049.658","3024.846","3108.344","2982.894","3131.48","3394.302"
"IMF.RES:WEO(6.0.0)","GNB.PPPEX.A","OBS_VALUE","Guinea-Bissau","197.699","201.402","218.428","218.223","211.497","208.34","203.716","204.041","212.512","215.856"
"IMF.RES:WEO(6.0.0)","HTI.PPPEX.A","OBS_VALUE","Haiti","21.465","24.487","27.425","30.618","35.146","41.554","47.5","57.545","73.049","92.107"
"IMF.RES:WEO(6.0.0)","HKG.PPPEX.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","5.965","6.006","6.07","6.247","6.19","6.147","5.872","5.574","5.53","5.507"
"IMF.RES:WEO(6.0.0)","GEO.PPPEX.A","OBS_VALUE","Georgia","0.755","0.765","0.808","0.811","0.797","0.797","0.866","0.874","0.864","0.878"
"IMF.RES:WEO(6.0.0)","ECU.PPPEX.A","OBS_VALUE","Ecuador","0.532","0.533","0.529","0.517","0.495","0.474","0.449","0.428","0.412","0.409"
"IMF.RES:WEO(6.0.0)","FJI.PPPEX.A","OBS_VALUE","Fiji, Republic of","0.925","0.94","0.939","0.96","0.972","0.935","0.91","0.87","0.874","0.899"
