"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","NIC.PPPEX.A","OBS_VALUE","Nicaragua","9.941","10.3","10.536","10.82","10.846","10.61","10.564","10.741","11.459","11.766"
"IMF.RES:WEO(6.0.0)","ROU.PPPEX.A","OBS_VALUE","Romania","1.544","1.569","1.614","1.666","1.637","1.615","1.638","1.73","1.874","1.952"
"IMF.RES:WEO(6.0.0)","MNE.PPPEX.A","OBS_VALUE","Montenegro","0.33","0.344","0.351","0.348","0.33","0.321","0.326","0.342","0.36","0.369"
"IMF.RES:WEO(6.0.0)","SMR.PPPEX.A","OBS_VALUE","San Marino, Republic of","0.76","0.763","0.763","0.746","0.725","0.705","0.707","0.679","0.689","0.689"
"IMF.RES:WEO(6.0.0)","ZAF.PPPEX.A","OBS_VALUE","South Africa","5.842","6.189","6.413","6.855","7.065","7.249","7.376","7.229","7.313","7.47"
"IMF.RES:WEO(6.0.0)","TZA.PPPEX.A","OBS_VALUE","Tanzania, United Republic of","817.184","869.977","889.449","849.043","815.964","779.039","762.958","744.285","754.931","772.67"
"IMF.RES:WEO(6.0.0)","TWN.PPPEX.A","OBS_VALUE","Taiwan Province of China","16.02","15.989","15.575","15.57","15.274","14.654","14.396","13.714","13.569","13.529"
"IMF.RES:WEO(6.0.0)","LCA.PPPEX.A","OBS_VALUE","St. Lucia","1.892","1.866","1.897","1.803","1.702","1.523","1.478","1.438","1.409","1.401"
"IMF.RES:WEO(6.0.0)","ARE.PPPEX.A","OBS_VALUE","United Arab Emirates","2.368","2.216","2.285","2.235","2.114","2.089","2.363","2.484","2.366","2.356"
"IMF.RES:WEO(6.0.0)","SVK.PPPEX.A","OBS_VALUE","Slovak Republic","0.527","0.519","0.516","0.526","0.51","0.489","0.487","0.489","0.519","0.529"
"IMF.RES:WEO(6.0.0)","UGA.PPPEX.A","OBS_VALUE","Uganda","1177.257","1233.249","1251.634","1253.71","1258.259","1240.85","1203.161","1205.57","1209.68","1237.24"
"IMF.RES:WEO(6.0.0)","SLB.PPPEX.A","OBS_VALUE","Solomon Islands","7.881","7.834","7.894","8.324","8.29","8.073","7.296","6.948","6.967","7.044"
"IMF.RES:WEO(6.0.0)","SOM.PPPEX.A","OBS_VALUE","Somalia","0.295","0.319","0.32","0.328","0.349","0.356","0.394","0.385","0.384","0.418"
"IMF.RES:WEO(6.0.0)","TTO.PPPEX.A","OBS_VALUE","Trinidad and Tobago","4.0","3.933","4.181","4.149","3.966","3.86","3.927","4.429","3.939","3.801"
"IMF.RES:WEO(6.0.0)","GBR.PPPEX.A","OBS_VALUE","United Kingdom","0.677","0.684","0.685","0.688","0.67","0.653","0.645","0.635","0.657","0.656"
"IMF.RES:WEO(6.0.0)","TKM.PPPEX.A","OBS_VALUE","Turkmenistan","1.571","1.492","1.536","1.492","1.503","1.529","1.502","1.703","1.607","1.655"
"IMF.RES:WEO(6.0.0)","KNA.PPPEX.A","OBS_VALUE","St. Kitts and Nevis","1.98","1.987","2.051","2.008","1.961","1.863","1.843","1.779","1.806","1.852"
"IMF.RES:WEO(6.0.0)","SVN.PPPEX.A","OBS_VALUE","Slovenia, Republic of","0.573","0.573","0.57","0.568","0.544","0.532","0.533","0.53","0.563","0.569"
"IMF.RES:WEO(6.0.0)","TON.PPPEX.A","OBS_VALUE","Tonga","1.475","1.5","1.55","1.585","1.63","1.594","1.582","1.539","1.637","1.672"
"IMF.RES:WEO(6.0.0)","TJK.PPPEX.A","OBS_VALUE","Tajikistan, Republic of","2.077","2.179","2.351","2.488","2.399","2.357","2.544","2.518","2.502","2.552"
"IMF.RES:WEO(6.0.0)","TLS.PPPEX.A","OBS_VALUE","Timor-Leste, Democratic Republic of","0.372","0.369","0.366","0.342","0.343","0.266","0.393","0.409","0.342","0.31"
"IMF.RES:WEO(6.0.0)","SWE.PPPEX.A","OBS_VALUE","Sweden","8.754","8.815","8.852","8.866","8.584","8.436","8.312","8.207","8.397","8.404"
"IMF.RES:WEO(6.0.0)","VCT.PPPEX.A","OBS_VALUE","St. Vincent and the Grenadines","1.609","1.584","1.589","1.549","1.538","1.47","1.44","1.451","1.45","1.467"
"IMF.RES:WEO(6.0.0)","SSD.PPPEX.A","OBS_VALUE","South Sudan, Republic of","8.337","23.682","37.191","59.579","81.967","104.355","126.743","292.309","427.46","1142.499"
"IMF.RES:WEO(6.0.0)","TGO.PPPEX.A","OBS_VALUE","Togo","240.361","238.099","231.84","228.707","218.59","208.468","202.174","195.625","194.276","193.917"
"IMF.RES:WEO(6.0.0)","TUN.PPPEX.A","OBS_VALUE","Tunisia","0.725","0.754","0.776","0.811","0.829","0.837","0.877","0.844","0.887","0.922"
"IMF.RES:WEO(6.0.0)","SDN.PPPEX.A","OBS_VALUE","Sudan","2.956","4.109","4.773","7.085","10.974","25.951","85.723","105.385","177.488","524.383"
"IMF.RES:WEO(6.0.0)","CHE.PPPEX.A","OBS_VALUE","Switzerland","1.232","1.213","1.188","1.179","1.134","1.105","1.046","1.006","0.98","0.969"
"IMF.RES:WEO(6.0.0)","TUV.PPPEX.A","OBS_VALUE","Tuvalu","1.251","1.343","1.359","1.425","1.492","1.492","1.552","1.591","1.641","1.669"
"IMF.RES:WEO(6.0.0)","SYC.PPPEX.A","OBS_VALUE","Seychelles","7.994","7.736","7.777","7.994","7.85","7.965","8.456","8.014","7.663","7.538"
"IMF.RES:WEO(6.0.0)","TUR.PPPEX.A","OBS_VALUE","Türkiye, Republic of","1.185","1.269","1.384","1.633","1.837","2.111","2.726","4.988","8.099","12.659"
"IMF.RES:WEO(6.0.0)","SLE.PPPEX.A","OBS_VALUE","Sierra Leone","2049.634","2149.292","2300.201","2541.013","2811.343","3055.827","3243.864","3844.103","4794.656","5828.728"
"IMF.RES:WEO(6.0.0)","THA.PPPEX.A","OBS_VALUE","Thailand","12.169","12.373","12.386","12.153","11.829","11.407","11.148","10.897","10.648","10.337"
"IMF.RES:WEO(6.0.0)","LKA.PPPEX.A","OBS_VALUE","Sri Lanka","45.528","47.554","49.274","49.968","51.709","55.16","55.527","76.432","",""
"IMF.RES:WEO(6.0.0)","SGP.PPPEX.A","OBS_VALUE","Singapore","0.878","0.874","0.883","0.868","0.854","0.835","0.811","0.859","0.804","0.805"
"IMF.RES:WEO(6.0.0)","ZMB.PPPEX.A","OBS_VALUE","Zambia","3.422","3.849","4.163","4.448","4.828","5.529","6.441","6.379","6.733","7.901"
"IMF.RES:WEO(6.0.0)","VUT.PPPEX.A","OBS_VALUE","Vanuatu","119.827","120.571","124.804","125.921","127.939","129.778","124.979","129.759","133.984","135.092"
"IMF.RES:WEO(6.0.0)","VNM.PPPEX.A","OBS_VALUE","Vietnam","6973.816","7033.869","7211.6","7275.826","7191.188","7064.954","7120.011","6915.432","6802.461","6914.556"
"IMF.RES:WEO(6.0.0)","VEN.PPPEX.A","OBS_VALUE","Venezuela, República Bolivariana de","","","","","0.004","0.089","1.115","3.288","13.786","22.36"
"IMF.RES:WEO(6.0.0)","WBG.PPPEX.A","OBS_VALUE","West Bank and Gaza","2.265","2.245","2.134","2.058","2.003","1.869","2.098","2.071","2.097",""
"IMF.RES:WEO(6.0.0)","ZWE.PPPEX.A","OBS_VALUE","Zimbabwe","","","","","0.002","0.01","0.019","0.066","0.648","4.906"
"IMF.RES:WEO(6.0.0)","USA.PPPEX.A","OBS_VALUE","United States","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"IMF.RES:WEO(6.0.0)","URY.PPPEX.A","OBS_VALUE","Uruguay","21.11","22.447","23.305","24.254","25.045","25.734","26.462","25.75","25.708","26.516"
"IMF.RES:WEO(6.0.0)","UKR.PPPEX.A","OBS_VALUE","Ukraine","4.315","5.006","6.004","6.628","6.58","6.435","7.302","9.196","10.517","11.504"
"IMF.RES:WEO(6.0.0)","PLW.PPPEX.A","OBS_VALUE","Palau, Republic of","1.071","1.119","1.089","1.054","1.0","0.964","0.949","0.977","1.031","1.045"
"IMF.RES:WEO(6.0.0)","YEM.PPPEX.A","OBS_VALUE","Yemen, Republic of","143.128","141.971","165.35","185.658","194.762","250.341","320.957","388.448","371.573","423.502"
